,inflation,unemployment
1970-06-01,5.4488185284069806,3.2
1970-07-01,5.420681783642685,3.4
1970-08-01,5.14252118074371,3.5
1970-09-01,4.6162041763162405,3.6
1970-10-01,4.342955792733594,3.9
1970-11-01,4.071809301878482,4.0
1970-12-01,4.309919248185179,4.2
1971-01-01,4.288172748326561,4.1
1971-02-01,4.277381598328623,4.0
1971-03-01,4.266644631890268,4.0
1971-04-01,4.000533461369884,4.0
1971-05-01,3.7364246744867646,4.1
1971-06-01,3.4742948443872606,4.0
1971-07-01,3.2141209211796635,4.0
1971-08-01,3.2061932459662823,4.2
1971-09-01,3.6904556935450814,4.1
1971-10-01,3.440142671733234,4.0
1971-11-01,3.431709292412912,4.1
1971-12-01,3.174869831458047,4.0
1972-01-01,2.919915469226254,3.9
1972-02-01,2.9128272923023695,3.7
1972-03-01,2.905773447954278,3.8
1972-04-01,3.1365659278219997,3.8
1972-05-01,3.1290157993210364,3.7
1972-06-01,3.3576295533604448,3.8
1972-07-01,3.3495954428182526,3.6
1972-08-01,3.576066387909852,3.5
1972-09-01,3.7919234862294093,3.6
1972-10-01,4.7178560275090815,3.8
1972-11-01,5.165467486489221,3.4
1972-12-01,5.381415281390833,3.2
1973-01-01,5.822366027889694,3.2
1973-02-01,5.582844955294231,3.1
1973-03-01,7.137666284222807,3.1
1973-04-01,7.104934614985008,3.0
1973-05-01,7.748749547837459,3.0
1973-06-01,7.931675482858773,3.0
1973-07-01,8.563788516181734,2.8
1973-08-01,9.168428268902208,2.9
1973-09-01,9.53101798043247,2.9
1973-10-01,9.656619839105089,2.7
1973-11-01,9.593407501017092,2.8
1973-12-01,10.170921082532226,2.9
1974-01-01,10.309550902697389,3.1
1974-02-01,10.919929196499155,3.1
1974-03-01,10.335851298715284,3.0
1974-04-01,11.285448945523408,3.2
1974-05-01,11.191791620398503,3.1
1974-06-01,11.511669060319065,3.2
1974-07-01,11.417682907965421,3.3
1974-08-01,11.111316814727592,3.5
1974-09-01,10.620582424577687,3.6
1974-10-01,9.94855512148055,3.9
1974-11-01,9.700973644040628,4.2
1974-12-01,8.855339734144518,4.8
1975-01-01,8.786135579133449,5.5
1975-02-01,9.105996551563022,5.7
1975-03-01,8.26599056881279,6.1
1975-04-01,7.608230645743962,6.4
1975-05-01,7.368771579115933,6.8
1975-06-01,7.119110085859879,6.5
1975-07-01,6.886441108469408,6.5
1975-08-01,6.477749831638829,6.2
1975-09-01,6.084826041738946,6.5
1975-10-01,5.884050002293381,6.3
1975-11-01,5.6843898976529035,6.2
1975-12-01,6.029223025612022,5.8
1976-01-01,5.809255683174576,5.5
1976-02-01,5.406722127027616,5.2
1976-03-01,5.56197152750937,5.2
1976-04-01,5.348868495098682,5.2
1976-05-01,5.320403606346518,5.2
1976-06-01,4.9392755329577,5.5
1976-07-01,4.913268857764515,5.5
1976-08-01,5.066585744678608,5.4
1976-09-01,5.904492584262679,5.5
1976-10-01,6.230388333615536,5.4
1976-11-01,6.720874969345046,5.5
1976-12-01,6.52031938107626,5.4
1977-01-01,6.486915430308969,5.2
1977-02-01,6.453852113757126,5.3
1977-03-01,6.421124245685597,5.0
1977-04-01,6.225727524032013,4.9
1977-05-01,6.1944485960524736,4.8
1977-06-01,6.496872118722634,4.6
1977-07-01,6.4645535959226414,4.5
1977-08-01,6.5921720804824675,4.4
1977-09-01,6.052542038785326,4.2
1977-10-01,6.1808287371876345,4.3
1977-11-01,6.297479916138869,4.2
1977-12-01,6.899287148695155,4.1
1978-01-01,7.174390485884146,4.0
1978-02-01,7.446035366908517,4.0
1978-03-01,7.562657533091206,4.0
1978-04-01,8.142210471964296,3.7
1978-05-01,8.552217343816201,3.7
1978-06-01,8.499321283339263,3.5
1978-07-01,8.607460877124316,3.6
1978-08-01,8.847229762930459,3.5
1978-09-01,9.386613623209122,3.6
1978-10-01,9.760178779658451,3.6
1978-11-01,9.971078311570743,3.4
1978-12-01,10.163264554381234,3.7
1979-01-01,10.50527760031438,3.6
1979-02-01,10.840929850718519,3.5
1979-03-01,11.186435768682976,3.5
1979-04-01,11.22539941772382,3.5
1979-05-01,11.396718697815857,3.3
1979-06-01,11.860574240784741,3.4
1979-07-01,12.446984194694814,3.6
1979-08-01,12.987508142141232,3.7
1979-09-01,13.244698984339777,3.7
1979-10-01,13.621020483454883,3.8
1979-11-01,13.618367956524983,3.8
1979-12-01,13.475613252041846,3.8
1980-01-01,13.335824744185478,4.2
1980-02-01,12.355023937854142,4.2
1980-03-01,12.124454863187209,4.5
1980-04-01,12.016967163411449,5.2
1980-05-01,11.896437070221475,5.7
1980-06-01,11.895194286136537,5.8
1980-07-01,11.648179929841179,6.0
1980-08-01,11.149550422534254,5.9
1980-09-01,10.788896201118531,5.8
1980-10-01,10.085600353672222,5.6
1980-11-01,9.654551041231791,5.5
1980-12-01,9.341676719879375,5.2
1981-01-01,9.255155736524555,5.5
1981-02-01,10.232929175454363,5.5
1981-03-01,10.271278273538558,5.4
1981-04-01,10.404857080986092,5.2
1981-05-01,9.77757435767885,5.5
1981-06-01,9.147957286448271,5.4
1981-07-01,8.537037078132407,5.1
1981-08-01,7.933674223652111,5.3
1981-09-01,7.337718571382613,5.4
1981-10-01,6.658214258099733,5.8
1981-11-01,6.411755712377715,6.1
1981-12-01,6.683521282464184,6.6
1982-01-01,6.936112779750208,6.6
1982-02-01,6.351340572232559,6.8
1982-03-01,5.794142848618866,7.1
1982-04-01,4.822737476571558,7.3
1982-05-01,4.909602133652017,7.3
1982-06-01,4.38026226583929,7.8
1982-07-01,3.754351245740312,8.0
1982-08-01,3.6405476385009656,8.1
1982-09-01,3.4253478478539314,8.5
1982-10-01,3.5273366379284696,8.7
1982-11-01,3.922071315328129,9.0
1982-12-01,3.3832032401434717,9.0
1983-01-01,2.4441135159145744,8.4
1983-02-01,2.331580531361684,8.8
1983-03-01,2.426812727243776,8.6
1983-04-01,2.726064820889168,8.6
1983-05-01,2.715098906595074,8.5
1983-06-01,3.1142647355853637,8.0
1983-07-01,3.7171532108345695,7.7
1983-08-01,4.200617563415506,7.7
1983-09-01,4.587045406609724,7.6
1983-10-01,4.777027626868672,7.3
1983-11-01,4.453977137177076,6.9
1983-12-01,4.24335984145966,6.6
1984-01-01,4.2350001572953255,6.3
1984-02-01,4.218379230350501,6.1
1984-03-01,4.205998912736365,5.9
1984-04-01,4.193691061886246,5.9
1984-05-01,4.1773922245637225,5.6
1984-06-01,4.070329311350412,5.4
1984-07-01,3.963786175903826,5.4
1984-08-01,3.4652167705572037,5.5
1984-09-01,3.5427352611232834,5.6
1984-10-01,3.720028368609021,5.5
1984-11-01,3.519145833631318,5.4
1984-12-01,3.5124635931277677,5.5
1985-01-01,3.5988732332235753,5.5
1985-02-01,3.39976085414196,5.4
1985-03-01,3.297519681555054,5.3
1985-04-01,3.195760676867131,5.5
1985-05-01,3.1837895097608864,5.2
1985-06-01,3.453446308921403,5.8
1985-07-01,3.7213596340434516,5.5
1985-08-01,3.8965968533384028,5.4
1985-09-01,3.1484081933282773,5.3
1985-10-01,2.130696631293109,5.2
1985-11-01,1.5762959665257912,5.1
1985-12-01,1.6651633592442436,5.1
1986-01-01,1.7520042420163753,4.9
1986-02-01,1.6574965094212954,5.4
1986-03-01,1.5632502249826494,5.4
1986-04-01,1.742364114725422,5.3
1986-05-01,1.5546723738300496,5.5
1986-06-01,1.2762251613851894,5.4
1986-07-01,1.1802225056628515,5.5
1986-08-01,1.3556466083608505,5.1
1986-09-01,1.896219343981474,5.4
1986-10-01,2.801810024957137,5.4
1986-11-01,3.613762691856735,5.3
1986-12-01,3.6039936483197237,5.3
1987-01-01,3.679194693357669,5.2
1987-02-01,3.851797243567539,5.1
1987-03-01,4.198919628685016,5.1
1987-04-01,4.1839658342909045,4.9
1987-05-01,4.263523164443601,4.8
1987-06-01,4.429422023100435,4.9
1987-07-01,4.240918192509372,4.7
1987-08-01,4.046286361318104,4.6
1987-09-01,3.860128369681209,4.4
1987-10-01,3.7608279917159213,4.6
1987-11-01,3.915245609718157,4.4
1987-12-01,3.905051487187308,4.3
1988-01-01,3.888178754420739,4.4
1988-02-01,4.047043888295525,4.2
1988-03-01,4.029692231076425,4.2
1988-04-01,4.09963472362401,3.9
1988-05-01,4.172593367021838,4.2
1988-06-01,4.158426890663363,4.0
1988-07-01,4.317217186520845,4.0
1988-08-01,4.385188252884919,4.3
1988-09-01,4.542412511425551,4.1
1988-10-01,4.7767773731739664,4.1
1988-11-01,4.911515604749548,4.2
1988-12-01,5.142094581422864,4.1
1989-01-01,5.0403067744896815,4.0
1989-02-01,4.939275532957651,3.8
1989-03-01,4.518222279323305,3.6
1989-04-01,4.339608456376215,3.9
1989-05-01,4.48505661653519,3.7
1989-06-01,4.549931806966843,3.8
1989-07-01,4.535190125295969,3.8
1989-08-01,5.06742909632668,3.8
1989-09-01,5.129329438755064,4.2
1989-10-01,5.104776506602398,3.9
1989-11-01,4.603987675473402,4.0
1989-12-01,4.2728018454154455,4.0
1990-01-01,4.567723146599243,4.0
1990-02-01,4.706751085798582,3.9
1990-03-01,5.546130298645444,4.0
1990-04-01,5.987018949094943,4.2
1990-05-01,6.184350528270298,4.1
1990-06-01,6.011054305759596,4.1
1990-07-01,6.067119518113589,4.2
1990-08-01,5.493371881783742,4.4
1990-09-01,5.17619345585896,4.4
1990-10-01,4.70853866746878,4.7
1990-11-01,4.697833502101142,4.9
1990-12-01,4.912207765369852,5.1
1991-01-01,4.588996205949834,5.2
1991-02-01,4.275116695266414,5.5
1991-03-01,3.728992824547324,5.8
1991-04-01,3.339828040184847,5.7
1991-05-01,2.808758181026177,5.7
1991-06-01,3.020487447166125,5.9
1991-07-01,2.9370686795988585,6.0
1991-08-01,2.6375155254394858,5.9
1991-09-01,2.779988827759665,6.1
1991-10-01,3.1400900451191034,6.0
1991-11-01,3.1332253360271025,6.1
1991-12-01,2.978789075662137,6.1
1992-01-01,2.9701567606909562,6.3
1992-02-01,3.1083095058388666,6.3
1992-03-01,3.028349658725254,6.2
1992-04-01,2.9487933030643387,6.3
1992-05-01,3.227243140484994,6.5
1992-06-01,3.0727676523496648,6.6
1992-07-01,2.9235593762237215,6.4
1992-08-01,3.2019811234771303,6.4
1992-09-01,3.1951599806602,6.4
1992-10-01,2.974723590472866,6.4
1992-11-01,3.107594696052239,6.3
1992-12-01,3.17039585879321,6.1
1993-01-01,2.953801243686364,5.9
1993-02-01,2.807201877868603,5.9
1993-03-01,2.8013036227673624,5.9
1993-04-01,2.726488356180576,5.8
1993-05-01,2.7150989065950455,5.8
1993-06-01,2.707558660528109,5.8
1993-07-01,2.772180293027152,5.8
1993-08-01,2.421425812059418,5.7
1993-09-01,2.484599858653053,5.6
1993-10-01,2.617229277326537,5.7
1993-11-01,2.3368761007829093,5.1
1993-12-01,2.2626950929025704,5.4
1994-01-01,2.464190393692855,5.2
1994-02-01,2.6631823180793077,5.2
1994-03-01,2.8592825993842985,5.1
1994-04-01,2.9223962124570355,5.0
1994-05-01,2.576413693613146,4.7
1994-06-01,2.5694449374782833,4.7
1994-07-01,2.564243061333754,4.8
1994-08-01,2.830377616285162,4.7
1994-09-01,2.8227680624867015,4.4
1994-10-01,2.749083613804046,4.5
1994-11-01,3.077165866675369,4.3
1994-12-01,3.0710023485372546,4.2
1995-01-01,2.9972273535791722,4.3
1995-02-01,2.7908788117076386,4.1
1995-03-01,2.5837806989557324,4.2
1995-04-01,2.5133598118493112,4.4
1995-05-01,2.707329432853473,4.5
1995-06-01,2.570157946143073,4.3
1995-07-01,2.5001302205417315,4.2
1995-08-01,2.7524673390090126,4.3
1995-09-01,2.680775114544358,4.2
1995-10-01,2.804226787385641,4.1
1995-11-01,2.793296255985675,4.4
1995-12-01,2.787862884596357,4.2
1996-01-01,2.7824506109429112,4.2
1996-02-01,2.8425686497951443,4.2
1996-03-01,2.773476706008953,4.2
1996-04-01,2.9603191305354706,4.2
1996-05-01,3.0159488306301565,4.3
1996-06-01,3.2012976987813215,4.1
1996-07-01,3.322989449890756,4.0
1996-08-01,2.9929008777094204,3.8
1996-09-01,2.9871938301719934,3.9
1996-10-01,2.72773017128854,3.8
1996-11-01,2.4051792318522094,4.0
1996-12-01,2.2131791728697667,3.8
1997-01-01,2.208988527228352,4.0
1997-02-01,2.1424890084105814,3.8
1997-03-01,2.2642476749759526,3.7
1997-04-01,2.195133610353467,3.7
1997-05-01,2.0645087329157374,3.3
1997-06-01,1.8727139050697383,3.5
1997-07-01,1.682806928064977,3.5
1997-08-01,1.617956887626881,3.6
1997-09-01,1.4299280011416904,3.5
1997-10-01,1.3673301900209285,3.5
1997-11-01,1.4281521841403457,3.4
1997-12-01,1.674457727380127,3.5
1998-01-01,1.6099418934181056,3.3
1998-02-01,1.7305747097592343,3.2
1998-03-01,1.6039825681036382,3.3
1998-04-01,1.4167160264780128,3.0
1998-05-01,1.475134308707256,3.1
1998-06-01,1.4733231512983893,3.2
1998-07-01,1.5941477997688123,3.3
1998-08-01,1.6529301951210489,3.3
1998-09-01,1.6529301951210489,3.3
1998-10-01,1.7136282242987226,3.2
1998-11-01,2.255505551508628,3.1
1998-12-01,2.069459124283276,3.2
1999-01-01,1.946533478810285,3.1
1999-02-01,2.121934722674133,3.3
1999-03-01,2.239125317544514,2.8
1999-04-01,2.5959803695797454,3.0
1999-05-01,2.5302554664785673,3.1
1999-06-01,2.5866103712181006,3.2
1999-07-01,2.6412099539776897,3.1
1999-08-01,2.7546651955494936,3.3
1999-09-01,3.167279986666692,2.9
1999-10-01,3.6930939027288248,2.9
1999-11-01,2.9693392925146287,2.8
1999-12-01,3.084467535109841,2.8
2000-01-01,3.6668803637087124,2.8
2000-02-01,3.5360195395884655,2.9
2000-03-01,3.296354955128498,2.8
2000-04-01,3.398100819314408,2.7
2000-05-01,3.392138094566775,2.8
2000-06-01,3.3861962610176266,2.8
2000-07-01,3.378306124364523,2.8
2000-08-01,3.653639206192667,2.8
2000-09-01,3.4685557987890294,2.9
2000-10-01,2.938845899950083,2.9
2000-11-01,3.1675553451145984,2.9
2000-12-01,3.501074937252078,3.0
2001-01-01,3.1440143166975325,3.2
2001-02-01,2.6851084722846372,3.3
2001-03-01,2.6851084722846372,3.3
2001-04-01,2.5591388069366188,3.4
2001-05-01,2.1053409197832207,3.3
2001-06-01,1.8766544497067945,3.5
2001-07-01,1.5909426469977233,3.5
2001-08-01,1.188805395958925,3.8
2001-09-01,1.1299555253933216,3.8
2001-10-01,1.3536585717533294,4.4
2001-11-01,1.630623703839612,4.6
2001-12-01,1.2331994848171257,4.6
2002-01-01,1.0635420707493568,4.7
2002-02-01,1.454978101473106,4.6
2002-03-01,1.7323707897456284,4.6
